copa,R1_filename,R2_filename,Expt
CoPA_17957_L1,atac/CoPA_17957_L1_R1.fastq.gz,atac/CoPA_17957_L1_R2.fastq.gz,ATAC
CoPA_17958_L1,atac/CoPA_17958_L1_R1.fastq.gz,atac/CoPA_17958_L1_R2.fastq.gz,ATAC
CoPA_17959_L1,atac/CoPA_17959_L1_R1.fastq.gz,atac/CoPA_17959_L1_R2.fastq.gz,ATAC
CoPA_17960_L1,atac/CoPA_17960_L1_R1.fastq.gz,atac/CoPA_17960_L1_R2.fastq.gz,ATAC
CoPA_17961_L1,atac/CoPA_17961_L1_R1.fastq.gz,atac/CoPA_17961_L1_R2.fastq.gz,ATAC
CoPA_17962_L1,atac/CoPA_17962_L1_R1.fastq.gz,atac/CoPA_17962_L1_R2.fastq.gz,ATAC
CoPA_17963_L1,atac/CoPA_17963_L1_R1.fastq.gz,atac/CoPA_17963_L1_R2.fastq.gz,ATAC
CoPA_17964_L1,atac/CoPA_17964_L1_R1.fastq.gz,atac/CoPA_17964_L1_R2.fastq.gz,ATAC
CoPA_17965_L1,atac/CoPA_17965_L1_R1.fastq.gz,atac/CoPA_17965_L1_R2.fastq.gz,ATAC
CoPA_17948_L2,atac/CoPA_17948_L2_R1.fastq.gz,atac/CoPA_17948_L2_R2.fastq.gz,ATAC
CoPA_17949_L2,atac/CoPA_17949_L2_R1.fastq.gz,atac/CoPA_17949_L2_R2.fastq.gz,ATAC
CoPA_17950_L2,atac/CoPA_17950_L2_R1.fastq.gz,atac/CoPA_17950_L2_R2.fastq.gz,ATAC
CoPA_17951_L2,atac/CoPA_17951_L2_R1.fastq.gz,atac/CoPA_17951_L2_R2.fastq.gz,ATAC
CoPA_17952_L2,atac/CoPA_17952_L2_R1.fastq.gz,atac/CoPA_17952_L2_R2.fastq.gz,ATAC
CoPA_17953_L2,atac/CoPA_17953_L2_R1.fastq.gz,atac/CoPA_17953_L2_R2.fastq.gz,ATAC
CoPA_17954_L2,atac/CoPA_17954_L2_R1.fastq.gz,atac/CoPA_17954_L2_R2.fastq.gz,ATAC
CoPA_17955_L2,atac/CoPA_17955_L2_R1.fastq.gz,atac/CoPA_17955_L2_R2.fastq.gz,ATAC
CoPA_17956_L2,atac/CoPA_17956_L2_R1.fastq.gz,atac/CoPA_17956_L2_R2.fastq.gz,ATAC
CoPA_17957_L2,atac/CoPA_17957_L2_R1.fastq.gz,atac/CoPA_17957_L2_R2.fastq.gz,ATAC
CoPA_17958_L2,atac/CoPA_17958_L2_R1.fastq.gz,atac/CoPA_17958_L2_R2.fastq.gz,ATAC
CoPA_17959_L2,atac/CoPA_17959_L2_R1.fastq.gz,atac/CoPA_17959_L2_R2.fastq.gz,ATAC
CoPA_17960_L2,atac/CoPA_17960_L2_R1.fastq.gz,atac/CoPA_17960_L2_R2.fastq.gz,ATAC
CoPA_17961_L2,atac/CoPA_17961_L2_R1.fastq.gz,atac/CoPA_17961_L2_R2.fastq.gz,ATAC
CoPA_17962_L2,atac/CoPA_17962_L2_R1.fastq.gz,atac/CoPA_17962_L2_R2.fastq.gz,ATAC
CoPA_17963_L2,atac/CoPA_17963_L2_R1.fastq.gz,atac/CoPA_17963_L2_R2.fastq.gz,ATAC
CoPA_17964_L2,atac/CoPA_17964_L2_R1.fastq.gz,atac/CoPA_17964_L2_R2.fastq.gz,ATAC
CoPA_17965_L2,atac/CoPA_17965_L2_R1.fastq.gz,atac/CoPA_17965_L2_R2.fastq.gz,ATAC
CoPA_17994_L1,atac/CoPA_17994_L1_R1.fastq.gz,atac/CoPA_17994_L1_R2.fastq.gz,ATAC
CoPA_17995_L1,atac/CoPA_17995_L1_R1.fastq.gz,atac/CoPA_17995_L1_R2.fastq.gz,ATAC
CoPA_17996_L1,atac/CoPA_17996_L1_R1.fastq.gz,atac/CoPA_17996_L1_R2.fastq.gz,ATAC
CoPA_17997_L1,atac/CoPA_17997_L1_R1.fastq.gz,atac/CoPA_17997_L1_R2.fastq.gz,ATAC
CoPA_17998_L1,atac/CoPA_17998_L1_R1.fastq.gz,atac/CoPA_17998_L1_R2.fastq.gz,ATAC
CoPA_17999_L1,atac/CoPA_17999_L1_R1.fastq.gz,atac/CoPA_17999_L1_R2.fastq.gz,ATAC
CoPA_18000_L1,atac/CoPA_18000_L1_R1.fastq.gz,atac/CoPA_18000_L1_R2.fastq.gz,ATAC
CoPA_18001_L1,atac/CoPA_18001_L1_R1.fastq.gz,atac/CoPA_18001_L1_R2.fastq.gz,ATAC
CoPA_18002_L1,atac/CoPA_18002_L1_R1.fastq.gz,atac/CoPA_18002_L1_R2.fastq.gz,ATAC
CoPA_18003_L1,atac/CoPA_18003_L1_R1.fastq.gz,atac/CoPA_18003_L1_R2.fastq.gz,ATAC
CoPA_18004_L1,atac/CoPA_18004_L1_R1.fastq.gz,atac/CoPA_18004_L1_R2.fastq.gz,ATAC
CoPA_18005_L1,atac/CoPA_18005_L1_R1.fastq.gz,atac/CoPA_18005_L1_R2.fastq.gz,ATAC
CoPA_18006_L1,atac/CoPA_18006_L1_R1.fastq.gz,atac/CoPA_18006_L1_R2.fastq.gz,ATAC
CoPA_18007_L1,atac/CoPA_18007_L1_R1.fastq.gz,atac/CoPA_18007_L1_R2.fastq.gz,ATAC
CoPA_18008_L1,atac/CoPA_18008_L1_R1.fastq.gz,atac/CoPA_18008_L1_R2.fastq.gz,ATAC
CoPA_18009_L1,atac/CoPA_18009_L1_R1.fastq.gz,atac/CoPA_18009_L1_R2.fastq.gz,ATAC
CoPA_17994_L2,atac/CoPA_17994_L2_R1.fastq.gz,atac/CoPA_17994_L2_R2.fastq.gz,ATAC
CoPA_17995_L2,atac/CoPA_17995_L2_R1.fastq.gz,atac/CoPA_17995_L2_R2.fastq.gz,ATAC
